X.gsva_MCP_0.	ID	status_C1AC1B	up_score	down_score	global_score
gsva_MCP_0	TCGA-HT-8114	low	-0.279455520945484	0	-0.279455520945484
gsva_MCP_0	TCGA-HT-A5R5	high	0.417886461682966	0	0.417886461682966
gsva_MCP_0	TCGA-HT-A614	high	0.403025850799493	0	0.403025850799493
gsva_MCP_0	TCGA-HT-A74J	low	-0.00758038671106875	0	-0.00758038671106875
gsva_MCP_0	TCGA-HT-A74O	low	-0.334297468750557	0	-0.334297468750557
gsva_MCP_0	TCGA-HW-7489	high	0.735188286555516	0	0.735188286555516
gsva_MCP_0	TCGA-HW-7490	low	-0.367291419236124	0	-0.367291419236124
gsva_MCP_0	TCGA-HW-8319	high	0.619310270987309	0	0.619310270987309
gsva_MCP_0	TCGA-HW-8320	low	-0.54086714092814	0	-0.54086714092814
gsva_MCP_0	TCGA-HW-A5KL	low	-0.44382239437486	0	-0.44382239437486
gsva_MCP_0	TCGA-HW-A5KM	low	-0.642383563965434	0	-0.642383563965434
gsva_MCP_0	TCGA-P5-A5EU	low	-0.180131354561991	0	-0.180131354561991
gsva_MCP_0	TCGA-P5-A5EV	low	-0.497820228035131	0	-0.497820228035131
gsva_MCP_0	TCGA-P5-A5F1	low	-0.251770375048897	0	-0.251770375048897
gsva_MCP_0	TCGA-P5-A5F2	high	0.585680669784969	0	0.585680669784969
gsva_MCP_0	TCGA-P5-A72W	low	-0.402451365133095	0	-0.402451365133095
gsva_MCP_0	TCGA-P5-A72X	low	-0.33835070643953	0	-0.33835070643953
gsva_MCP_0	TCGA-P5-A735	low	-0.0677843627214062	0	-0.0677843627214062
gsva_MCP_0	TCGA-P5-A736	low	-0.0178353827433639	0	-0.0178353827433639
gsva_MCP_0	TCGA-QH-A65S	low	-0.331112690335459	0	-0.331112690335459
gsva_MCP_0	TCGA-QH-A6X9	high	0.23180397736603	0	0.23180397736603
gsva_MCP_0	TCGA-QH-A870	low	-0.432474245268449	0	-0.432474245268449
gsva_MCP_0	TCGA-R8-A6YH	low	-0.606339807502446	0	-0.606339807502446
gsva_MCP_0	TCGA-RY-A83Z	low	-0.205990853336744	0	-0.205990853336744
gsva_MCP_0	TCGA-S9-A6TS	high	0.310073930170752	0	0.310073930170752
gsva_MCP_0	TCGA-S9-A6TV	low	-0.40585366683913	0	-0.40585366683913
gsva_MCP_0	TCGA-S9-A6U8	high	0.153097121426167	0	0.153097121426167
gsva_MCP_0	TCGA-S9-A6U9	low	-0.296991240079059	0	-0.296991240079059
gsva_MCP_0	TCGA-S9-A6WG	low	-0.166879803058956	0	-0.166879803058956
gsva_MCP_0	TCGA-S9-A6WO	low	-0.454229603180041	0	-0.454229603180041
gsva_MCP_0	TCGA-S9-A6WQ	high	0.298626192430594	0	0.298626192430594
gsva_MCP_0	TCGA-S9-A7IZ	high	0.524064950933241	0	0.524064950933241
gsva_MCP_0	TCGA-S9-A7J0	low	-0.478232324646525	0	-0.478232324646525
gsva_MCP_0	TCGA-S9-A7QW	high	0.0807261970976334	0	0.0807261970976334
gsva_MCP_0	TCGA-S9-A7R7	low	-0.437116682526914	0	-0.437116682526914
gsva_MCP_0	TCGA-TM-A84I	low	-0.281022181089356	0	-0.281022181089356
gsva_MCP_0	TCGA-TM-A84Q	low	-0.370763734301561	0	-0.370763734301561
gsva_MCP_0	TCGA-TM-A84T	low	-0.456167870203881	0	-0.456167870203881
gsva_MCP_0	TCGA-TQ-A7RH	low	-0.0857076851995087	0	-0.0857076851995087
gsva_MCP_0	TCGA-TQ-A7RJ	high	0.0699015014988613	0	0.0699015014988613
gsva_MCP_0	TCGA-TQ-A7RR	high	0.348637897415932	0	0.348637897415932
gsva_MCP_0	TCGA-VM-A8C8	low	-0.529797845936215	0	-0.529797845936215
gsva_MCP_0	TCGA-VM-A8CF	low	-0.223920864921346	0	-0.223920864921346
gsva_MCP_0	TCGA-WY-A858	low	-0.524117057900063	0	-0.524117057900063
gsva_MCP_0	TCGA-WY-A85B	low	-0.635693795107999	0	-0.635693795107999
gsva_MCP_0	TCGA-WY-A85D	low	-0.400978892052531	0	-0.400978892052531
gsva_MCP_0	TCGA-WY-A85E	high	0.481211244919175	0	0.481211244919175
gsva_MCP_0	TCGA-DU-5872	low	-0.275704802747501	0	-0.275704802747501
gsva_MCP_0	TCGA-DU-6407	low	-0.269441245223188	0	-0.269441245223188
gsva_MCP_0	TCGA-DU-7304	high	0.596744748854637	0	0.596744748854637
gsva_MCP_0	TCGA-FG-5965	high	0.576062311937128	0	0.576062311937128
gsva_MCP_0	TCGA-TQ-A7RK	low	-0.52783118475015	0	-0.52783118475015
