Detail	hyper_turcan	hypo_turcan	hyper_adi	hypo_adi	SharedSets
ELMO1	1	1	1	0	3
SMYD5	1	1	1	0	3
ZFHX3	1	0	1	1	3
BCL2	1	1	1	0	3
CD151	1	1	1	0	3
IDUA	1	1	1	0	3
ISLR2	1	1	1	0	3
CCDC105	1	1	1	0	3
BCR	1	1	1	0	3
DOCK1	1	1	1	0	3
UNCX	1	1	1	0	3
NRXN2	1	1	1	0	3
NPM2	1	1	1	0	3
TMEM134	1	1	1	0	3
P2RY6	1	1	1	0	3
SYNCRIP	1	1	0	1	3
PARVB	1	1	1	0	3
PHLDB1	1	1	1	0	3
EPHA10	1	1	1	0	3
B3GALT4	1	1	1	0	3
ADAM23	1	1	1	0	3
PTPRS	1	1	1	0	3
NODAL	1	1	1	0	3
TFAP2A	1	1	1	0	3
GRID1	1	1	1	0	3
MACF1	1	1	1	0	3
PENK	1	1	1	0	3
SLC5A10	1	1	1	0	3
MEF2C	1	1	1	0	3
HOPX	1	1	1	0	3
YIPF2	1	1	1	0	3
SEMA4B	1	1	1	0	3
EVX1	1	1	1	0	3
KCNJ4	1	1	1	0	3
WWOX	1	1	1	0	3
MACROD1	1	1	1	0	3
CACNA1B	1	1	1	0	3
ALX4	1	1	0	1	3
DZIP1	1	1	1	0	3
ALOX5	1	1	1	0	3
ROBO3	1	1	1	0	3
RASSF10	1	1	1	0	3
FAM20A	1	1	1	0	3
CYP26C1	1	1	1	0	3
DUSP15	1	1	1	0	3
KCNC2	1	1	1	0	3
GNG7	1	1	1	0	3
CSGALNACT1	1	1	1	0	3
ABHD3	1	1	1	0	3
MYCBP	1	1	1	0	3
RIPK4	1	1	1	0	3
FAM184B	1	1	1	0	3
HRK	1	1	1	0	3
KSR2	1	1	1	0	3
KCNK9	1	1	1	0	3
ADORA1	1	1	1	0	3
RNF39	1	1	1	0	3
PARD6G	1	1	1	0	3
DNAH7	1	1	1	0	3
SEMA5A	1	1	1	0	3
RNF212	1	1	0	1	3
PLEKHH2	1	1	1	0	3
PEX14	1	1	1	0	3
NTN1	1	1	1	0	3
VAMP5	1	1	1	0	3
GSDMD	1	1	1	0	3
SMTNL2	1	1	1	0	3
PTK7	1	1	1	0	3
ZNF536	1	1	1	0	3
ATXN1L	1	1	0	1	3
CLDN5	1	1	1	0	3
ST8SIA5	1	1	1	0	3
PAX7	1	1	1	0	3
TBR1	1	1	1	0	3
RASGRP2	1	1	1	0	3
NFIX	1	0	1	1	3
HES7	1	1	0	1	3
UNC5A	1	1	1	0	3
EBF2	1	1	1	0	3
SYNGAP1	1	1	0	1	3
DLGAP1	1	1	0	1	3
VAV3	1	1	1	0	3
LEFTY1	1	1	1	0	3
TEC	1	1	1	0	3
CABP7	1	1	1	0	3
TOX2	1	1	1	0	3
CTNNA2	1	1	1	0	3
DNAJC22	1	1	1	0	3
RSPH1	1	1	1	0	3
SLC25A22	1	1	1	0	3
FGF17	1	1	1	0	3
NKX2-4	1	1	1	0	3
GRID2IP	1	1	1	0	3
ATG16L2	1	1	1	0	3
ZSCAN18	1	1	1	0	3
MED8	1	1	1	0	3
CDH22	1	1	1	0	3
SH3BP5	1	1	1	0	3
ECEL1	1	1	1	0	3
TUBB3	1	1	1	0	3
MAPK8IP1	1	1	1	0	3
CXCL14	1	1	1	0	3
GPC6	1	1	1	0	3
RASIP1	1	1	1	0	3
ARHGAP26	1	1	1	0	3
FAM172A	1	1	1	0	3
C1orf115	1	1	1	0	3
KLF13	1	1	1	0	3
ABCC6	1	1	1	0	3
NECAB2	1	1	1	0	3
SCN5A	1	1	0	1	3
SYT6	1	1	1	0	3
REM1	1	1	1	0	3
NAAA	1	0	1	1	3
AKAP12	1	1	1	0	3
FEZF2	1	1	1	0	3
MMP2	1	1	1	0	3
CALCR	1	1	1	0	3
ARNT2	1	1	1	0	3
RBP1	1	1	1	0	3
NTSR2	1	1	1	0	3
ACADL	1	1	0	1	3
GRIN2C	1	1	1	0	3
ARRDC4	1	1	1	0	3
NOTCH3	1	1	1	0	3
OXTR	1	1	1	0	3
PPP1R14C	1	1	1	0	3
FAM110A	1	1	1	0	3
KCTD12	1	1	1	0	3
CDH23	1	1	1	0	3
DYNC1I1	1	1	1	0	3
CHST13	1	1	1	0	3
FZD9	1	1	1	0	3
DMRTA2	1	1	1	0	3
PPP5C	1	1	1	0	3
MCOLN2	1	1	1	0	3
GALR1	1	1	1	0	3
RFX4	1	1	1	0	3
CCDC149	1	1	1	0	3
BEND4	1	1	1	0	3
DUOX2	1	1	1	0	3
TATDN2	1	1	1	0	3
C1QL3	1	1	1	0	3
RGS6	1	1	1	0	3
RAI14	1	1	1	0	3
GRHL3	1	1	1	0	3
ANKRD35	1	1	1	0	3
NPHS1	1	1	1	0	3
SHANK1	1	1	1	0	3
MEX3A	1	1	1	0	3
PDIK1L	1	1	1	0	3
CAMK2N1	1	1	1	0	3
IGSF3	1	1	1	0	3
HS3ST3B1	1	1	1	0	3
FLNC	1	1	1	0	3
TSSK1B	1	1	1	0	3
BSX	1	1	1	0	3
LHX8	1	1	1	0	3
MAMSTR	1	1	1	0	3
ARHGEF19	1	1	1	0	3
GDF10	1	1	1	0	3
KAZALD1	1	1	1	0	3
HIF3A	1	1	1	0	3
CORIN	1	1	1	0	3
STAT5A	1	1	1	0	3
CHCHD10	1	1	1	0	3
KCNH6	1	1	1	0	3
RREB1	1	1	1	0	3
LYN	1	1	1	0	3
PCDHGA2	1	1	0	1	3
KCNQ4	1	1	1	0	3
TEKT1	1	1	1	0	3
ADRA2A	1	1	1	0	3
POU3F1	1	1	1	0	3
MDGA2	1	1	1	0	3
PLXNC1	1	1	1	0	3
MAFB	1	1	1	0	3
ATP8A2	1	1	1	0	3
C9orf50	1	1	1	0	3
LHX6	1	1	1	0	3
KCNT1	1	1	1	0	3
CGNL1	1	1	1	0	3
TMEM37	1	1	1	0	3
DCDC2	1	1	1	0	3
FAM189A1	1	1	1	0	3
SLC37A1	1	1	1	0	3
NFIB	1	1	0	1	3
ASB13	1	1	1	0	3
DMRT3	1	1	1	0	3
RTN4R	1	1	1	0	3
GRIN2B	1	1	0	1	3
MYO18A	1	1	1	0	3
KLHDC7A	1	1	1	0	3
PHOX2A	1	1	1	0	3
TET1	1	1	1	0	3
ST14	1	1	1	0	3
ENPP1	1	1	1	0	3
TMCC3	1	1	1	0	3
GCK	1	1	1	0	3
NECAB3	1	1	1	0	3
VGLL2	1	1	1	0	3
MTSS1	1	1	1	0	3
STK33	1	1	1	0	3
THRB	1	1	1	0	3
BCL7B	1	1	1	0	3
MYL3	1	1	1	0	3
TRIL	1	1	1	0	3
MYO7A	1	1	1	0	3
PDE10A	1	1	1	0	3
NEU1	1	1	1	0	3
ALDH1A3	1	1	1	0	3
PREX2	1	1	1	0	3
KDM2B	1	1	1	0	3
ANP32D	1	1	0	1	3
ASAP1	1	1	1	0	3
CDO1	1	1	1	0	3
SLCO3A1	1	1	1	0	3
LMTK3	1	1	1	0	3
ALK	1	1	1	0	3
PPP1R2	1	1	1	0	3
