Gene_name,ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,IR132H_AP_N5_R3,IR132H_AP_N5_R7,IR132H_AP_N5_R8,IR132H_AP_N5_R11,IR132H_AP_N5_R14,Adi_6_IR132H_AP_N6_R2,Adi_7_IR132H_AP_N6_R3,Adi_13_IR132H_AP_N6_R1,Adi_21_IR132H_AP_N6_R5,Adi_24_IR132H_AP_N6_R8,Adi_25_IR132H_AP_N6_R4,Adi_26_IR132H_AP_N6_R3,Adi_27_IR132H_AP_N6_R4,Adi_11_IR132H_AP_N6_R6,Adi_23_IR132H_AP_N6_R8,Adi_4_IR132H_AP_N6_R5,Adi_5_IR132H_AP_N6_R12,Adi_8_IR132H_AP_N6_R8,Adi_12_IR132H_AP_N6_R4,Adi_14_IR132H_AP_N6_R2,Adi_20_IR132H_AP_N6_R4,Adi13_IR132H_AP-8&9-R11,Adi18_IR132H_AP-8&9-401-R1,Adi20_IR132H_AP-14&15-R1,Adi21_IR132H_AP-14&15-R2,Adi22_IR132H_AP-14&15-R3,IAP10112H,IAP13R3
Myoc,ENSMUSG00000026697,28.964751100479234,3.265977722174821,0.6798211259537247,4.076619326949128e-9,2.2296436907954325e-7,1.61236026125893,2.025742426197398,6.412376225744104,1.0279949030460727,35.19583589365909,4.046491851579101,3.1367005340352954,3.262713602693352,0,42.17383693735799,77.33279643599448,3.5079882014105097,1.2469916542991244,2.762382097539163,151.1876392772818,0,371.36328241224777,1.1335319284187946,0,3.73111520924964,41.5554811352828,1.1197223919876826,31.036020090127252,13.969160982558588,3.1926619125016136,6.688136672084405,1.2202240425410804,1.0718437343225051
Tnnt2,ENSMUSG00000026414,21.041790538277173,3.242056847470088,0.5523745514043327,3.150384308672133e-11,4.86564390924988e-9,44.07118047441075,10.63514773753634,27.78696364489112,17.989910803306273,21.423552283096836,6.744153085965168,13.592368980819614,0,2.675002871915784,8.626466646277771,20.775975161908963,4.67731760188068,0,12.430719438926234,92.16232805258959,2.4195558157116235,183.51415123095512,0,1.2036424158771117,18.6555760462482,35.93987557646079,0.5598611959938413,16.192706133979435,10.975769343438891,27.93579173438912,2.2293788906948016,4.880896170164322,1.0718437343225051
Gm765,ENSMUSG00000090667,14.495831506214449,3.079095124602906,0.8124179974467294,1.3959702025898212e-7,4.2751338529526795e-6,3.22472052251786,0.5064356065493495,2.849944989219602,3.5979821606612545,0,1.3488306171930335,3.1367005340352954,0.815678400673338,0,0.9584962940308634,0,1.16932940047017,3.740974962897373,1.3811910487695815,96.30445515607676,0,234.08891731822624,0,0,21.142986185747958,6.738726670586399,0,18.891490489642674,1.9955944260797982,3.990827390627017,0,0,0
Kctd8,ENSMUSG00000037653,34.54445004576229,2.955121551554844,0.4209754646440046,5.806249590990056e-14,1.2735635361525122e-10,19.885776555526803,21.77673108162203,6.412376225744104,28.783857285290036,33.665582159152166,13.488306171930336,93.055449176380435,7.341105606060041,4.012504307873677,31.630377703018492,57.71104211641379,16.37061160658238,6.234958271495622,82.8714629261749,54.88318412120503,3.6293337235674352,106.92950544165889,3.4005957852563835,3.6109272476313348,8.705935488249159,126.91268562937718,1.1197223919876826,26.98784355663239,81.81937146927173,97.37618833129922,2.2293788906948016,23.184256808280526,3.2155312029675156
Gm16485,ENSMUSG00000078117,33.767963025663406,2.880324493457238,0.4760686291395958,3.8234668269579053e-11,5.6358002513421485e-9,47.83335441734826,37.98267049120121,29.92442238680582,29.81185218833611,29.839947822884877,8.092983703158202,16.72906951485491,8.972462407406717,2.675002871915784,33.54737029108022,41.55195032381793,28.063905611284078,2.493983308598249,22.099056780313305,209.17741872610222,9.678223262846494,229.7539373678887,0,0,33.580036883246756,39.309238911753994,0.5598611959938413,22.939667023137535,18.958147047758082,22.348633387511295,4.458757781389603,9.761792340328643,5.359218671612526
Lhx6,ENSMUSG00000026890,62.97378408024673,2.833416901694311,0.42013822939949974,5.379868286839103e-13,3.982586633857306e-10,137.05062220700904,158.00790924339705,44.88663358020873,46.77376808859631,67.33116431830433,14.83713678912337,87.82761495298827,1.631356801346676,4.012504307873677,79.55519240456167,101.57143412488827,11.6932940047017,3.740974962897373,56.62883299955285,142.90338507030745,13.30755698641393,163.2842447960467,5.667659642093972,15.647351406402452,26.117806464747478,250.45600792346116,4.478889567950731,51.27690275760155,83.81496589535152,128.50464197818994,6.688136672084405,42.70784148893781,12.862124811870062
Hapln1,ENSMUSG00000021613,94.52033497220619,2.744827701225763,0.3387163017240835,2.711219827265196e-17,5.820446725172922e-13,41.38391337231254,40.008412917398616,33.486853623330326,45.745773185550235,75.74755985809237,57.999716539300444,228.97913898457657,14.682211212120082,25.41252728319995,141.85745151656778,231.99838930798344,67.82110522726985,8.72894158009387,194.747937876511,245.42103088161497,30.244447696395294,369.9182890954686,7.934723498931561,7.2218544952626695,185.3120553927321,122.42020118231959,6.1584731559322545,93.10806027038176,123.72685441694749,162.02759205945688,27.867236133685022,51.24940978672537,5.359218671612526
Cpne5,ENSMUSG00000024008,403.63341077257815,2.7035914862737425,0.4620650993723583,2.035261191395151e-10,1.916359090213645e-8,859.9254726714294,481.6202618284314,200.92112173998194,635.814847533996,204.2888735566734,133.53423110211034,866.77491423842,75.04241286194708,16.050017231494706,422.6968656676108,320.8733941672607,208.14063328369025,23.692841431683362,555.2388016053718,657.5626776785887,154.8515722055439,999.9353752111886,2.267063856837589,64.99669045736402,447.73382510995674,1361.2227874584526,17.35569707580908,353.5407505918843,709.4338184713682,1173.303252844343,20.064410016253216,320.9189231883041,13.933968546192567
Terb1,ENSMUSG00000052616,2.225775252642437,2.6887304527291227,0.6350269532894672,3.796734559010647e-7,9.749796353210594e-6,4.83708078377679,2.025742426197398,0.7124862473049005,1.5419923545691092,0.7651268672534584,0,5.2278342233921595,0,1.337501435957892,3.833985176123454,3.4626625269848272,5.84664700235085,1.2469916542991244,4.143573146308745,3.1065953276153793,0,7.224966583895871,0,0,2.48741013949976,6.738726670586399,0,0,2.9933916391196975,4.788992868752421,0,0,0
Kcng3,ENSMUSG00000045053,3.668980740518564,2.6505896506370235,0.6480161848671532,6.765981838061388e-7,1.589191445289955e-5,8.061801306294651,6.077227278592194,0,1.5419923545691092,1.5302537345069167,0,6.273401068070591,0,0,2.8754888820925903,4.616883369313103,15.201282206112209,0,6.905955243847908,4.142127103487173,2.4195558157116235,8.669959900675046,0,1.2036424158771117,1.24370506974988,7.861847782350798,0,8.096353066989717,7.982377704319193,5.587158346877824,0,2.440448085082161,0
